canonical_smiles,r_i_docking_score,n_measurements
C#CCSC1=NC([O-])=C2C(=NC(=O)C[C@@H]2c2ccc(OCC(N)=O)cc2)N1,-6.306724359338256,1
C#CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)cc2)N1,-6.691054160193051,1
C#CCSc1nc(=O)c2c([nH]1)NC(=O)C[C@@H]2c1ccc(OCC(N)=O)cc1,-7.670324761786011,1
C#CCSc1nc2c(c(=O)[n-]1)[C@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-7.970519262186249,1
C#CCSc1nc2c(c(=O)[nH]1)[C@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-8.279442847053291,1
C=CCNC(=O)CCc1nc(-c2cc3cc(C)ccc3[nH]c2=O)no1,-7.374269250239445,1
C=CCNC(=O)CSc1nc2c(cnn2-c2ccc(Cl)cc2)c(=O)[nH]1,-7.529601381033831,1
C=CCNC(=O)[C@H]1CC(=O)N(c2ccc(OCC(=O)Nc3cccc(OC)c3)cc2)C1,-7.110230599083655,1
C=CCNC(=O)c1cc(-c2ccc(Br)cc2)on1,-7.03343460857465,1
C=CCNC(=O)c1cc(-c2ccc(F)cc2)on1,-6.9638246578937775,1
C=CCNC(=O)c1cc(-c2ccc(O)cc2)on1,-6.22015563701018,1
C=CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)cc2)N1,-8.247063789987195,1
C=CCn1c([C@H]2CC(=O)N(CCOC)C2)nc2ccccc21,-7.10949963795709,1
C=CCn1c2ccccc2c2nnc(S[C@@H](CC)C(=O)Nc3ccc(NC(C)=O)cc3)nc21,-7.896851224182167,1
C=CCn1c2ccccc2c2nnc(S[C@H](CC)C(=O)Nc3ccc(NC(C)=O)cc3)nc21,-8.175596688854883,1
CC(=O)NC1=NN(C(C)=O)[C@@H](c2cccc(OCCCOc3cccc(C)c3)c2)S1,-5.635708291672885,1
CC(=O)NC1=NN(C(C)=O)[C@@](C)(c2ccc(NC(C)=O)cc2)S1,-9.989036653360202,1
CC(=O)NCCCCCc1nc2ccccc2n1Cc1ccc(Cl)cc1,-7.83203606345464,1
CC(=O)NCCCCCc1nc2ccccc2n1Cc1ccccc1,-8.315094681930796,1
CC(=O)NCCc1nc2cc(NC(=O)COc3ccc(Cl)cc3)ccc2n1C,-7.973105208709352,1
CC(=O)NCCc1nc2cc(NC(C)=O)ccc2n1C,-8.736179871485765,1
CC(=O)NCc1nc(-c2ccc(C(C)(C)C)cc2)no1,-8.143979200302324,1
CC(=O)NCc1nc(-c2ccc(Cl)cc2)no1,-8.07208235779154,1
CC(=O)NCc1nc(-c2cccc(C)c2)no1,-8.074927069921058,1
CC(=O)Nc1ccc(/C=N/NC(=O)[C@H](NC(=O)c2ccccc2)c2n[nH]c(=O)c3ccccc23)cc1,-8.5340051611541,1
CC(=O)Nc1ccc(C(=O)/[NH+]=C(\NCc2c(C)nn(C)c2C)Nc2ccc(C(C)C)cc2)cc1,-7.225535294668608,1
CC(=O)Nc1ccc(C(=O)/[NH+]=C(\NCc2ccncc2)Nc2ccc(C)cc2)cc1,-8.089084616199655,1
CC(=O)Nc1ccc(C(=O)N/N=C/c2cccc(C)n2)cc1,-8.30485087533959,1
CC(=O)Nc1ccc(C(=O)NCCn2c(-c3ccc(F)cc3)nc3cccnc32)cc1,-8.147524460241918,1
CC(=O)Nc1ccc(C(=O)NCCn2c(-c3ccccc3)nc3cccnc32)cc1,-7.087794287793901,1
CC(=O)Nc1ccc(C(=O)NCc2ccc3c(c2)OCO3)cc1,-8.892193266290178,1
CC(=O)Nc1ccc(C(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)cc1,-8.602273323634805,1
CC(=O)Nc1ccc(C(=O)Nc2nnc([C@@H]3CC(=O)N(c4ccc(C)cc4)C3)s2)cc1,-7.662161928641442,1
CC(=O)Nc1ccc(N/C=C2/N=C(c3ccc([N+](=O)[O-])cc3)OC2=O)cc1,-8.66759986540799,1
CC(=O)Nc1ccc(N/C=C2\N=C(c3ccccc3Br)OC2=O)cc1,-8.62564399693974,1
CC(=O)Nc1ccc(N2C(=O)CN(S(C)(=O)=O)C[C@@]2(C)C(=O)NC2CCCCC2)cc1,-8.340124021975821,1
CC(=O)Nc1ccc(N2C(=O)c3cc4ccsc4n3C[C@@]2(C)C(=O)NC2CCCCC2)cc1,-8.20938745429758,1
CC(=O)Nc1ccc(NC(=O)CCCn2nc(C)c([N+](=O)[O-])c2C)cc1,-8.699976587430044,1
CC(=O)Nc1ccc(NC(=O)CCN2C(=O)c3ccccc3C2=O)cc1,-7.482876043501798,1
CC(=O)Nc1ccc(NC(=O)CCc2ccc3nc(NC(C)=O)sc3c2)cc1,-9.802644186272792,1
CC(=O)Nc1ccc(NC(=O)COc2cccc3c2OC(C)(C)C3)cc1,-8.716516822784453,1
CC(=O)Nc1ccc(NC(=O)CSC2=[NH+]C(=O)C[C@@H](c3ccccc3F)[C@H]2C#N)cc1,-8.23147023630619,1
CC(=O)Nc1ccc(NC(=O)CSC2=[NH+]C(=O)C[C@H](c3ccccc3F)[C@@H]2C#N)cc1,-7.664681589636716,1
CC(=O)Nc1ccc(NC(=O)CSc2n[nH]c(C)n2)cc1,-8.214725458302976,1
CC(=O)Nc1ccc(NC(=O)CSc2nc(C)n[nH]2)cc1,-8.658596830250925,1
CC(=O)Nc1ccc(NC(=O)CSc2nc3[nH+]c[nH]c3c(=O)[n-]2)cc1,-10.414301571149387,1
CC(=O)Nc1ccc(NC(=O)CSc2ncc(CO)n2CC(=O)NCc2ccccc2)cc1,-7.635660150336509,1
CC(=O)Nc1ccc(NC(=O)CSc2nnc3ccc(-c4ccncc4)nn23)cc1,-8.108666425667739,1
CC(=O)Nc1ccc(NC(=O)CSc2nnnn2-c2ccccc2)cc1,-8.233101017560962,1
CC(=O)Nc1ccc(NC(=O)C[C@@H](C)n2ccc(C)n2)cc1,-8.508182634996361,1
CC(=O)Nc1ccc(NC(=O)C[C@@H]2Nc3ccccc3NC2=O)cc1,-8.492343278286167,1
CC(=O)Nc1ccc(NC(=O)C[C@H]2Nc3ccccc3NC2=O)cc1,-9.570259974521374,1
CC(=O)Nc1ccc(NC(=O)C[C@H]2Sc3ccccc3NC2=O)cc1,-8.618425535666823,1
CC(=O)Nc1ccc(NC(=O)Cc2csc(NC(=O)c3ccco3)n2)cc1,-8.505043021300335,1
CC(=O)Nc1ccc(NC(=O)Cn2cc([N+](=O)[O-])cn2)cc1,-8.345872374225802,1
CC(=O)Nc1ccc(NC(=O)[C@@H](C)N2Cc3ccccc3C2=O)cc1,-8.738626018025467,1
CC(=O)Nc1ccc(NC(=O)[C@@H]2CCC(=O)N2S(=O)(=O)c2ccccc2)cc1,-8.187557675129806,1
CC(=O)Nc1ccc(NC(=O)[C@H]2CC(=O)N=C(N)S2)cc1,-8.391056933213378,1
CC(=O)Nc1ccc(NC(=O)[C@H]2CC(=O)Nc3ncnn32)cc1,-8.958577290163369,1
CC(=O)Nc1ccc(NC(=O)c2c(C)nn(-c3ccccc3)c2Cl)cc1,-7.908097746345255,1
CC(=O)Nc1ccc(NC(=O)c2c(N3CCCC3=O)c3cc(C)ccc3n2C)cc1,-8.44952020071453,1
CC(=O)Nc1ccc(NC(=O)c2c[nH]c(=O)n(-c3ccccc3)c2=O)cc1,-7.8283059130504125,1
CC(=O)Nc1ccc(NC(=O)c2cc(-c3ccncc3)[nH]n2)cc1,-7.829418013388211,1
CC(=O)Nc1ccc(NC(=O)c2cc(=O)n3c(nc4ccccc43)s2)cc1,-7.87260380419598,1
CC(=O)Nc1ccc(NC(=O)c2cc3c(=O)n4cccc(C)c4nc3n2C)cc1,-7.769452141251612,1
CC(=O)Nc1ccc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1,-8.361995919221073,1
CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C[C@@H](c2ccccc2)OC3=O)cc1,-6.642912090503329,1
CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)nnn3C)cc1,-8.018801893365495,1
CC(=O)Nc1ccc(NC(=O)c2cccs2)cc1,-8.433596812438374,1
CC(=O)Nc1ccc(NC(=O)c2cnn(-c3ccc(Cl)cc3)c2)cc1,-7.835449671762907,1
CC(=O)Nc1ccc(NC(=O)c2cnn(-c3ccccc3)c2)cc1,-8.211680421301283,1
CC(=O)Nc1ccc(N[C@@H](NC(=O)c2cccs2)C(=O)c2ccccc2)cc1,-8.793857697749988,1
CC(=O)Nc1ccc(Nc2cc(C)nc(-n3cc([N+](=O)[O-])cn3)n2)cc1,-8.10325365286652,1
CC(=O)Nc1ccc(Nc2cc(C)nc3c(C)c(-c4ccccc4)nn23)cc1,-8.916619247003952,1
CC(=O)Nc1ccc(Nc2nc(C)cc(Nc3ccc(C)cc3)n2)cc1,-8.455185820718864,1
CC(=O)Nc1ccc(Nc2nc(Nc3ccc(C)cc3)cc(C)[nH+]2)cc1,-7.025089473716315,1
CC(=O)Nc1ccc(Nc2nc3c(S(=O)(=O)c4cccc(Cl)c4)nnn3c3ccsc23)cc1,-9.386162391633173,1
CC(=O)Nc1ccc(OCc2cc(=O)n3ccccc3n2)cc1,-9.043552588729655,1
CC(=O)Nc1ccc(OCc2cc(=O)n3nc(CC(C)C)sc3n2)cc1,-8.594602888809785,1
CC(=O)Nc1ccc(S(=O)(=O)/N=C2\[N-]C[N@@H+](Cc3ccccc3)CN2)cc1,-6.263108458111298,1
CC(=O)Nc1ccc(S(=O)(=O)N2CCC(n3c(C(F)(F)F)nc4cccnc43)CC2)cc1,-7.406116877476382,1
CC(=O)Nc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)cc1,-7.6313526969218355,1
CC(=O)Nc1ccc(S(=O)(=O)N=C2NCN(CCC[NH+]3CCOCC3)CN2)cc1,-8.147967966362529,1
CC(=O)Nc1ccc(S(=O)(=O)N=C2NCN(Cc3ccc4c(c3)OCO4)CN2)cc1,-7.374223139414782,1
CC(=O)Nc1ccc(S(=O)(=O)N=C2[N-]C[NH+](CCCN3CCOCC3)C[N-]2)cc1,-6.576589210817491,1
CC(=O)Nc1ccc(S(=O)(=O)N=C2[N-]C[NH+](Cc3ccc4c(c3)OCO4)C[N-]2)cc1,-7.476168626037227,1
CC(=O)Nc1ccc(S(=O)(=O)N=C2[N-]C[NH+](Cc3ccccc3)C[N-]2)cc1,-7.558949901076569,1
CC(=O)Nc1ccc(S(=O)(=O)NC[C@H]2CC[C@@H](C(=O)NCCC(C)C)CC2)cc1,-7.810257070565876,1
CC(=O)Nc1ccc(S(=O)(=O)NC[C@H]2CC[C@@H](C(=O)NCCc3ccc(C)cc3)CC2)cc1,-7.254611685619278,1
