canonical_smiles,pIC50,n_measurements,pIC50_std
C#CCC(CCCCCC(=O)Nc1ccccc1)C(=O)NO,4.060480747381382,1,
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,7.221848749616356,1,
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,8.0,1,
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,7.096910013008056,1,
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,6.795880017344075,1,
C#CCN(C)CCCOc1cc(NCc2ccc(/C=C/C(=O)NO)cc2)ccc1Cl,7.0,1,
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,8.0,1,
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,8.221848749616356,1,
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,7.045757490560675,1,
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,7.698970004336019,2,0.0
C#CCN1C(=O)/C(=C2\Nc3ccccc3\C2=N/OCCCC(=O)NO)c2ccccc21,5.729088360589518,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,7.318758762624412,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,6.752026733638193,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1,8.18045606445813,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2cccc(C(=O)NO)c2)cc1,6.251037138743838,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NO)cc1,6.399027104313252,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1,7.366531544420414,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)Nc2cccc(C(=O)NO)c2)cc1,6.910094888560602,1,
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)NO)cc3)c2)CC1,7.455931955649724,1,
C#CCn1c(=O)c(OCc2ccc(C(=O)NO)cc2)c(-c2ccccc2)c2ccccc21,7.086186147616283,1,
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,8.468521082957745,1,
C#Cc1ccc(-c2nc3ccc(C(=O)NO)cc3[nH]2)cc1,7.721246399047171,1,
C#Cc1ccc(CNC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,7.468521082957745,1,
