canonical_smiles,r_i_docking_score,n_measurements
Brc1cccc(C[N@@H+]2CCc3nc(N4CCN(c5ncccn5)CC4)ncc3C2)c1,-3.77265,1
C#CCN1C(=O)[C@@](O)(CC(=O)c2ccc(OCC)cc2)c2ccccc21,-5.75764,1
C#CCOc1ccc([C@@H]2CC(=O)Nc3c2c(C)nn3-c2nncc(-c3cccc(OC)c3)n2)cc1,-5.56939,1
C#CCOc1ccc([C@@H]2CC(=O)Nc3c2cnn3-c2ccc(Cl)cc2)cc1,-3.75354,1
C#CCOc1ccc([C@@H]2CC(=O)Nc3c2cnn3-c2ccc(F)cc2)cc1,-5.07671,1
C#CCOc1ccc([C@@H]2CC(=O)Nc3c2cnn3-c2cccc(Cl)c2)cc1,-6.5807,1
C#CCOc1ccc([C@@H]2SCC(=O)Nc3c2c(C)nn3-c2nc(C)cc(C)n2)cc1,-5.14527,1
C#CCOc1ccc([C@H]2Nc3ccc(C)cc3[C@H]3OCCC[C@@H]23)cc1,-6.3047,1
C#CCSC1=NC([O-])=C2C(=NC(=O)C[C@@H]2c2ccc(OCC(N)=O)cc2)N1,-8.16824,1
C#CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)c(OCC)c2)N1,-4.5594,1
C#CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)cc2)N1,-7.2113,1
C#CCSc1nc(=O)c2c([nH]1)NC(=O)C[C@@H]2c1ccc(OCC(N)=O)cc1,-7.86452,1
C#CCSc1nc(=O)c2c([nH]1)NC(=O)C[C@H]2c1ccc(OCC(N)=O)c(OCC)c1,-4.8805,1
C#CCSc1nc(O)c2c(n1)NC(=O)C[C@@H]2c1ccc(OCC(N)=O)c(OCC)c1,-2.96111,1
C#CCSc1nc(O)c2c(n1)NC(=O)C[C@H]2c1ccc(OCC(N)=O)c(OCC)c1,-4.22961,1
C#CCSc1nc(O)c2c(n1)NC(=O)C[C@H]2c1ccc(OCC(N)=O)cc1,-6.05416,1
C#CCSc1nc2c(c(=O)[n-]1)[C@@H](c1ccc(OCC(N)=O)c(OCC)c1)CC(=O)N2,-5.00854,1
C#CCSc1nc2c(c(=O)[n-]1)[C@@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-5.29064,1
C#CCSc1nc2c(c(=O)[n-]1)[C@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-7.32299,1
C#CCSc1nc2c(c(=O)[nH]1)[C@@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-6.79943,1
C#CCSc1nc2c(c(=O)[nH]1)[C@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-8.14158,1
C#CCn1c([C@@H]2CC(=O)N(c3ccc(OC)cc3)C2)[nH+]c2ccccc21,-3.88473,1
C(=N\[N-]c1nnnn1-c1cccc2ccccc12)/c1ccncc1,-4.84585,1
C=C(C)Cn1c(CCCNC(=O)CC)nc2ccccc21,-4.72701,1
C=C(C)Cn1c(CCCNC(=O)COc2ccccc2)[nH+]c2ccccc21,-4.51428,1
C=C(C)Cn1c(CCNC(=O)CCCO)[nH+]c2ccccc21,-5.53174,1
C=C(C)Cn1c(CCNC(=O)CCCO)nc2ccccc21,-3.81349,1
