canonical_smiles,pIC50,n_measurements
Br.O=C(NO)c1ccc(Cn2cc(CN[C@@H]3C[C@H]3c3ccccc3)cn2)cc1,7.008773924307505,2
Brc1c[nH]cn1,4.301029995663981,1
Brc1ccccn1,4.301029995663981,1
Brc1cccnc1,4.301029995663981,1
Brc1ccn[nH]1,4.301029995663981,1
Brc1ccncc1,4.301029995663981,1
Brc1cn[nH]c1,4.301029995663981,1
Brc1cnccn1,4.301029995663981,1
Brc1cncnc1,4.301029995663981,1
Brc1cncs1,5.251811972993799,3
Brc1ncc[nH]1,4.301029995663981,1
Brc1ncccn1,4.301029995663981,1
Brc1nccs1,4.301029995663981,1
C#CCC(CCCCCC(=O)Nc1ccccc1)C(=O)NO,4.060480747381382,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,5.749579997691105,3
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,7.301029995663981,3
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,5.950781977329818,3
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,5.605548319173782,3
C#CCN(C)CCCOc1cc(NCc2ccc(/C=C/C(=O)NO)cc2)ccc1Cl,7.096910013008056,3
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,5.931814138253838,3
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,6.481486060122112,3
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,5.8326826652518236,3
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,6.6777807052660805,3
C#CCN1C(=O)/C(=C2\Nc3ccccc3\C2=N/OCCCC(=O)NO)c2ccccc21,5.301029995663981,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCCCCCCC(=O)NO)cc1,6.0,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,6.0,1
