canonical_smiles,pIC50,n_measurements,pIC50_std
Br.O=C(NO)c1ccc(Cn2cc(CN[C@@H]3C[C@H]3c3ccccc3)cn2)cc1,7.008773924307505,1,
Brc1cncs1,5.251811972993799,1,
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,5.7495799976911055,1,
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,7.301029995663981,1,
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,5.950781977329818,1,
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,5.605548319173783,1,
C#CCN(C)CCCOc1cc(NCc2ccc(/C=C/C(=O)NO)cc2)ccc1Cl,7.096910013008056,1,
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,5.931814138253838,1,
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,6.481486060122112,1,
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,5.8326826652518236,1,
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,6.6777807052660805,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,7.221631656644126,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1,7.820735535660974,1,
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NO)cc1,6.307038575975984,1,
C#CCOc1ccc(/C=N/NC(=O)CCCCCCC(=O)NO)cc1,6.537602002101044,1,
C#CCOc1ccc(/C=N/NC(=O)c2cccc(C(=O)NO)c2)cc1,7.537602002101044,2,0.0
C#Cc1c[n+](C)ccc1NC(=O)CC(=O)N1Cc2ccccc2C1.[I-],4.761526248912963,2,0.750811036061948
C#Cc1c[n+](C)ccn1,4.538271431637897,8,0.8203316927518058
C#Cc1cc[n+](C)cc1,5.075373783377279,11,0.8760333182083311
C#Cc1ccc(C(=O)NO)s1,6.0,1,
C#Cc1ccc[n+](C)c1,5.086186147616283,1,
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,7.09799710864927,1,
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)NO)c4)cc23)c1,6.229147988357855,1,
C#Cc1cccc[n+]1C,5.6777807052660805,1,
C#Cc1ccncc1,4.8996294548824375,1,
C#Cc1cn(C)[n+](C)c1,5.0,1,
C#Cc1cnc[n+](C)c1,4.6777807052660805,1,
C#Cc1nc(/C=C/C(=O)NO)cs1,5.7447274948966935,1,
C#Cc1nc(/C=C/C=C/C(=O)NO)cs1,6.173925197299173,1,
C#Cc1nc(/C=C/CCCCCC(=O)NO)cs1,6.568636235841012,1,
C#Cc1nc(/C=C\CCCCCC(=O)NO)cs1,6.327902142064282,1,
C#Cc1nc(C(=O)NCCCCCCC(=O)NO)cs1,6.494850021680094,1,
C#Cc1nccc[n+]1C,5.027701361889155,3,1.0536991265718127
C/C(=C\Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)CC(=O)NO,5.698970004336019,1,
C/C(=N\N(C)C(=O)c1ccc(N(C)C)cc1)c1ccc(C(=O)NO)cc1,7.267606240177031,1,
